 AAPL , AAPL-MSE , MSFT , MSFT-MSE , AMZN , AMZN-MSE , GOOGL , GOOGL-MSE , BRK-B , BRK.B-MSE , TSLA , TSLA-MSE , NVDA , NVDA-MSE , GOOG , GOOG-MSE , UNH , UNH-MSE , JPM , JPM-MSE , AVGO , AVGO-MSE , V , V-MSE , BAC , BAC-MSE , HD , HD-MSE , MA , MA-MSE , MRK , MRK-MSE , ABBV , ABBV-MSE , LLY , LLY-MSE , UPS , UPS-MSE , CAT , CAT-MSE 
AAPL_t1_L3_U64_U32_U32_B32_D02,0.058255088,MSFT_t1_L3_U64_U32_U32_B32_D02,0.015545474,AMZN_t1_L3_U64_U32_U32_B32_D02,0.038234815,GOOGL_t1_L3_U64_U32_U32_B32_D02,0.014404211,BRK-B_t1_L3_U64_U32_U32_B32_D02,0.011417947,TSLA_t1_L3_U64_U32_U32_B32_D02,0.028709283,NVDA_t1_L3_U64_U32_U32_B32_D02,0.029912384,GOOG_t1_L3_U64_U32_U32_B32_D02,0.010267452,UNH_t1_L3_U64_U32_U32_B32_D02,0.050321065,JPM_t1_L3_U64_U32_U32_B32_D02,0.020689178,AVGO_t1_L3_U64_U32_U32_B32_D02,0.042347275,V_t1_L3_U64_U32_U32_B32_D02,0.020335263,BAC_t1_L3_U64_U32_U32_B32_D02,0.028747324,HD_t1_L3_U64_U32_U32_B32_D02,0.042347275,MA_t1_L3_U64_U32_U32_B32_D02,0.037018679,MRK_t1_L3_U64_U32_U32_B32_D02,0.013476122,ABBV_t1_L3_U64_U32_U32_B32_D02,0.030733939,LLY_t1_L3_U64_U32_U32_B32_D02,0.013566238,UPS_t1_L3_U64_U32_U32_B32_D02,0.027113132,CAT_t1_L3_U64_U32_U32_B32_D02,0.035963066
AAPL_t1_L3_U64_U32_U16_B32_D02,0.054401942,MSFT_t1_L3_U64_U32_U16_B32_D02,0.027662346,AMZN_t1_L3_U64_U32_U16_B32_D02,0.02588718,GOOGL_t1_L3_U64_U32_U16_B32_D02,0.025601795,BRK-B_t1_L3_U64_U32_U16_B32_D02,0.013143808,TSLA_t1_L3_U64_U32_U16_B32_D02,0.019619463,NVDA_t1_L3_U64_U32_U16_B32_D02,0.043162975,GOOG_t1_L3_U64_U32_U16_B32_D02,0.038691357,UNH_t1_L3_U64_U32_U16_B32_D02,0.024727562,JPM_t1_L3_U64_U32_U16_B32_D02,0.013482075,AVGO_t1_L3_U64_U32_U16_B32_D02,0.034900874,V_t1_L3_U64_U32_U16_B32_D02,0.023926457,BAC_t1_L3_U64_U32_U16_B32_D02,0.016054017,HD_t1_L3_U64_U32_U16_B32_D02,0.034900874,MA_t1_L3_U64_U32_U16_B32_D02,0.041784637,MRK_t1_L3_U64_U32_U16_B32_D02,0.032210577,ABBV_t1_L3_U64_U32_U16_B32_D02,0.021006616,LLY_t1_L3_U64_U32_U16_B32_D02,0.034348167,UPS_t1_L3_U64_U32_U16_B32_D02,0.027389985,CAT_t1_L3_U64_U32_U16_B32_D02,0.027218631
AAPL_t1_L3_U32_U32_U32_B32_D02,0.030327454,MSFT_t1_L3_U32_U32_U32_B32_D02,0.039508108,AMZN_t1_L3_U32_U32_U32_B32_D02,0.030912796,GOOGL_t1_L3_U32_U32_U32_B32_D02,0.033820167,BRK-B_t1_L3_U32_U32_U32_B32_D02,0.031286906,TSLA_t1_L3_U32_U32_U32_B32_D02,0.040569197,NVDA_t1_L3_U32_U32_U32_B32_D02,0.032883786,GOOG_t1_L3_U32_U32_U32_B32_D02,0.021578655,UNH_t1_L3_U32_U32_U32_B32_D02,0.023503855,JPM_t1_L3_U32_U32_U32_B32_D02,0.040196765,AVGO_t1_L3_U32_U32_U32_B32_D02,0.013696603,V_t1_L3_U32_U32_U32_B32_D02,0.02415066,BAC_t1_L3_U32_U32_U32_B32_D02,0.011417947,HD_t1_L3_U32_U32_U32_B32_D02,0.013696603,MA_t1_L3_U32_U32_U32_B32_D02,0.039154071,MRK_t1_L3_U32_U32_U32_B32_D02,0.054522634,ABBV_t1_L3_U32_U32_U32_B32_D02,0.01066322,LLY_t1_L3_U32_U32_U32_B32_D02,0.057903584,UPS_t1_L3_U32_U32_U32_B32_D02,0.038994335,CAT_t1_L3_U32_U32_U32_B32_D02,0.030978834
AAPL_t1_L3_U32_U32_U16_B32_D02,0.031632718,MSFT_t1_L3_U32_U32_U16_B32_D02,0.021482784,AMZN_t1_L3_U32_U32_U16_B32_D02,0.043706026,GOOGL_t1_L3_U32_U32_U16_B32_D02,0.040041205,BRK-B_t1_L3_U32_U32_U16_B32_D02,0.998797178,TSLA_t1_L3_U32_U32_U16_B32_D02,0.022874182,NVDA_t1_L3_U32_U32_U16_B32_D02,0.035921838,GOOG_t1_L3_U32_U32_U16_B32_D02,0.026558306,UNH_t1_L3_U32_U32_U16_B32_D02,0.030588612,JPM_t1_L3_U32_U32_U16_B32_D02,0.016833851,AVGO_t1_L3_U32_U32_U16_B32_D02,0.01773674,V_t1_L3_U32_U32_U16_B32_D02,0.029712463,BAC_t1_L3_U32_U32_U16_B32_D02,0.013143808,HD_t1_L3_U32_U32_U16_B32_D02,0.01773674,MA_t1_L3_U32_U32_U16_B32_D02,0.038080212,MRK_t1_L3_U32_U32_U16_B32_D02,0.033806652,ABBV_t1_L3_U32_U32_U16_B32_D02,0.027268358,LLY_t1_L3_U32_U32_U16_B32_D02,0.037369013,UPS_t1_L3_U32_U32_U16_B32_D02,0.016153425,CAT_t1_L3_U32_U32_U16_B32_D02,0.038248558
AAPL_t1_L3_U32_U16_U16_B32_D02,0.032420952,MSFT_t1_L3_U32_U16_U16_B32_D02,0.018242147,AMZN_t1_L3_U32_U16_U16_B32_D02,0.026130743,GOOGL_t1_L3_U32_U16_U16_B32_D02,0.028977303,BRK-B_t1_L3_U32_U16_U16_B32_D02,0.033495337,TSLA_t1_L3_U32_U16_U16_B32_D02,0.025384264,NVDA_t1_L3_U32_U16_U16_B32_D02,0.038669426,GOOG_t1_L3_U32_U16_U16_B32_D02,0.034147412,UNH_t1_L3_U32_U16_U16_B32_D02,0.041701924,JPM_t1_L3_U32_U16_U16_B32_D02,0.034058422,AVGO_t1_L3_U32_U16_U16_B32_D02,0.024757788,V_t1_L3_U32_U16_U16_B32_D02,0.036560167,BAC_t1_L3_U32_U16_U16_B32_D02,0.031286906,HD_t1_L3_U32_U16_U16_B32_D02,0.024757788,MA_t1_L3_U32_U16_U16_B32_D02,0.050183725,MRK_t1_L3_U32_U16_U16_B32_D02,0.035201475,ABBV_t1_L3_U32_U16_U16_B32_D02,0.014267741,LLY_t1_L3_U32_U16_U16_B32_D02,0.024673974,UPS_t1_L3_U32_U16_U16_B32_D02,0.031082507,CAT_t1_L3_U32_U16_U16_B32_D02,0.017608143
AAPL_t1_L3_U32_U16_U8_B32_D02,0.998551071,MSFT_t1_L3_U32_U16_U8_B32_D02,0.999757886,AMZN_t1_L3_U32_U16_U8_B32_D02,0.999364436,GOOGL_t1_L3_U32_U16_U8_B32_D02,0.999177456,BRK-B_t1_L3_U32_U16_U8_B32_D02,0.023795102,TSLA_t1_L3_U32_U16_U8_B32_D02,0.999655902,NVDA_t1_L3_U32_U16_U8_B32_D02,0.999413013,GOOG_t1_L3_U32_U16_U8_B32_D02,0.99919486,UNH_t1_L3_U32_U16_U8_B32_D02,0.998874664,JPM_t1_L3_U32_U16_U8_B32_D02,0.999749303,AVGO_t1_L3_U32_U16_U8_B32_D02,0.999416709,V_t1_L3_U32_U16_U8_B32_D02,0.999078572,BAC_t1_L3_U32_U16_U8_B32_D02,0.998797178,HD_t1_L3_U32_U16_U8_B32_D02,0.999416709,MA_t1_L3_U32_U16_U8_B32_D02,0.999830961,MRK_t1_L3_U32_U16_U8_B32_D02,0.999504745,ABBV_t1_L3_U32_U16_U8_B32_D02,0.998535872,LLY_t1_L3_U32_U16_U8_B32_D02,0.999433577,UPS_t1_L3_U32_U16_U8_B32_D02,0.999578893,CAT_t1_L3_U32_U16_U8_B32_D02,0.999712646
AAPL_t1_L3_U16_U16_U16_B32_D02,0.036968581,MSFT_t1_L3_U16_U16_U16_B32_D02,0.044637594,AMZN_t1_L3_U16_U16_U16_B32_D02,0.028449863,GOOGL_t1_L3_U16_U16_U16_B32_D02,0.018977273,BRK-B_t1_L3_U16_U16_U16_B32_D02,0.019016726,TSLA_t1_L3_U16_U16_U16_B32_D02,0.019107588,NVDA_t1_L3_U16_U16_U16_B32_D02,0.023492523,GOOG_t1_L3_U16_U16_U16_B32_D02,0.024182333,UNH_t1_L3_U16_U16_U16_B32_D02,0.026375005,JPM_t1_L3_U16_U16_U16_B32_D02,0.026038134,AVGO_t1_L3_U16_U16_U16_B32_D02,0.03895545,V_t1_L3_U16_U16_U16_B32_D02,0.033420574,BAC_t1_L3_U16_U16_U16_B32_D02,0.033495337,HD_t1_L3_U16_U16_U16_B32_D02,0.03895545,MA_t1_L3_U16_U16_U16_B32_D02,0.03551643,MRK_t1_L3_U16_U16_U16_B32_D02,0.017645512,ABBV_t1_L3_U16_U16_U16_B32_D02,0.031198954,LLY_t1_L3_U16_U16_U16_B32_D02,0.011642823,UPS_t1_L3_U16_U16_U16_B32_D02,0.024922868,CAT_t1_L3_U16_U16_U16_B32_D02,0.0144363
AAPL_t1_L3_U16_U16_U8_B32_D02,0.026207376,MSFT_t1_L3_U16_U16_U8_B32_D02,0.043912761,AMZN_t1_L3_U16_U16_U8_B32_D02,0.028853627,GOOGL_t1_L3_U16_U16_U8_B32_D02,0.017942198,BRK-B_t1_L3_U16_U16_U8_B32_D02,0.009797085,TSLA_t1_L3_U16_U16_U8_B32_D02,0.021751661,NVDA_t1_L3_U16_U16_U8_B32_D02,0.028793899,GOOG_t1_L3_U16_U16_U8_B32_D02,0.037472662,UNH_t1_L3_U16_U16_U8_B32_D02,0.035723813,JPM_t1_L3_U16_U16_U8_B32_D02,0.020462355,AVGO_t1_L3_U16_U16_U8_B32_D02,0.015472699,V_t1_L3_U16_U16_U8_B32_D02,0.020222025,BAC_t1_L3_U16_U16_U8_B32_D02,0.023795102,HD_t1_L3_U16_U16_U8_B32_D02,0.015472699,MA_t1_L3_U16_U16_U8_B32_D02,0.049065098,MRK_t1_L3_U16_U16_U8_B32_D02,0.015137777,ABBV_t1_L3_U16_U16_U8_B32_D02,0.02405824,LLY_t1_L3_U16_U16_U8_B32_D02,0.013071924,UPS_t1_L3_U16_U16_U8_B32_D02,0.013554421,CAT_t1_L3_U16_U16_U8_B32_D02,0.014347608
AAPL_t1_L3_U16_U8_U8_B32_D02,0.028876308,MSFT_t1_L3_U16_U8_U8_B32_D02,0.017431026,AMZN_t1_L3_U16_U8_U8_B32_D02,0.028851919,GOOGL_t1_L3_U16_U8_U8_B32_D02,0.027441701,BRK-B_t1_L3_U16_U8_U8_B32_D02,0.040357638,TSLA_t1_L3_U16_U8_U8_B32_D02,0.018217266,NVDA_t1_L3_U16_U8_U8_B32_D02,0.047148891,GOOG_t1_L3_U16_U8_U8_B32_D02,0.028646536,UNH_t1_L3_U16_U8_U8_B32_D02,0.024099633,JPM_t1_L3_U16_U8_U8_B32_D02,0.010615704,AVGO_t1_L3_U16_U8_U8_B32_D02,0.02597638,V_t1_L3_U16_U8_U8_B32_D02,0.019575294,BAC_t1_L3_U16_U8_U8_B32_D02,0.019016726,HD_t1_L3_U16_U8_U8_B32_D02,0.02597638,MA_t1_L3_U16_U8_U8_B32_D02,0.036848314,MRK_t1_L3_U16_U8_U8_B32_D02,0.01568733,ABBV_t1_L3_U16_U8_U8_B32_D02,0.023725035,LLY_t1_L3_U16_U8_U8_B32_D02,0.016074428,UPS_t1_L3_U16_U8_U8_B32_D02,0.020163644,CAT_t1_L3_U16_U8_U8_B32_D02,0.019511737
AAPL_t1_L3_U8_U8_U8_B32_D02,0.02914221,MSFT_t1_L3_U8_U8_U8_B32_D02,0.019699579,AMZN_t1_L3_U8_U8_U8_B32_D02,0.029547455,GOOGL_t1_L3_U8_U8_U8_B32_D02,0.025526041,BRK-B_t1_L3_U8_U8_U8_B32_D02,0.016092403,TSLA_t1_L3_U8_U8_U8_B32_D02,0.029241789,NVDA_t1_L3_U8_U8_U8_B32_D02,0.040066175,GOOG_t1_L3_U8_U8_U8_B32_D02,0.02589038,UNH_t1_L3_U8_U8_U8_B32_D02,0.043697663,JPM_t1_L3_U8_U8_U8_B32_D02,0.012532664,AVGO_t1_L3_U8_U8_U8_B32_D02,0.016416727,V_t1_L3_U8_U8_U8_B32_D02,0.024587929,BAC_t1_L3_U8_U8_U8_B32_D02,0.009797085,HD_t1_L3_U8_U8_U8_B32_D02,0.016416727,MA_t1_L3_U8_U8_U8_B32_D02,0.037371177,MRK_t1_L3_U8_U8_U8_B32_D02,0.016414763,ABBV_t1_L3_U8_U8_U8_B32_D02,0.024027012,LLY_t1_L3_U8_U8_U8_B32_D02,0.023852127,UPS_t1_L3_U8_U8_U8_B32_D02,0.020817073,CAT_t1_L3_U8_U8_U8_B32_D02,0.018994143
