Portefølje vægte,AAPL,MSFT,AMZN,GOOGL,BRK-B,TSLA,NVDA,GOOG,UNH,JPM,AVGO,V,BAC,HD,MA,MRK,ABBV,LLY,UPS,CAT
16/09/2022,-10%,-10%,-10%,-10%,20%,20%,-10%,-10%,20%,20%,20%,20%,20%,-10%,-10%,20%,20%,20%,-10%,-10%
19/09/2022,13%,-10%,-10%,-9%,12%,18%,8%,-10%,20%,20%,-3%,-10%,20%,20%,-10%,20%,20%,11%,-10%,-10%
20/09/2022,20%,-10%,-10%,-10%,20%,15%,11%,-10%,20%,20%,-10%,-10%,20%,20%,-10%,20%,20%,4%,-10%,-10%
21/09/2022,20%,20%,-10%,-8%,20%,20%,20%,-10%,20%,-10%,0%,-10%,-9%,20%,2%,20%,20%,-5%,-10%,-10%
22/09/2022,20%,20%,-10%,20%,20%,16%,-10%,-6%,20%,-10%,-10%,-10%,-10%,20%,-10%,20%,20%,20%,-10%,-10%
23/09/2022,20%,20%,-10%,20%,20%,-10%,-10%,-8%,20%,-10%,-10%,18%,-10%,20%,-10%,20%,20%,20%,-10%,-10%
26/09/2022,20%,20%,-10%,20%,20%,-10%,-10%,20%,20%,-10%,-10%,-10%,-10%,20%,-10%,20%,20%,20%,-10%,-10%
27/09/2022,20%,20%,-10%,20%,20%,-10%,-10%,9%,20%,-10%,1%,-10%,-10%,20%,-10%,20%,20%,20%,-10%,-10%
28/09/2022,-10%,19%,12%,-10%,20%,0%,8%,20%,5%,-10%,-10%,-10%,-10%,20%,-10%,19%,18%,20%,18%,-10%
29/09/2022,-10%,15%,20%,-10%,20%,13%,-10%,3%,7%,-10%,-10%,-10%,-10%,20%,-10%,20%,1%,20%,20%,20%
30/09/2022,-10%,1%,9%,-8%,20%,-4%,2%,-10%,20%,0%,-10%,20%,-10%,20%,-10%,20%,-10%,20%,20%,20%
03/10/2022,-10%,-6%,6%,-10%,20%,-10%,-4%,20%,13%,20%,-9%,20%,-7%,20%,-2%,20%,-10%,20%,-10%,20%
04/10/2022,-10%,2%,2%,-10%,20%,-10%,-9%,9%,13%,20%,10%,20%,6%,20%,6%,20%,-10%,-10%,-10%,20%
05/10/2022,-10%,9%,5%,-10%,14%,-10%,-1%,10%,16%,20%,20%,-5%,-8%,20%,20%,20%,-10%,-10%,-10%,20%
06/10/2022,-2%,9%,3%,-5%,1%,-10%,-5%,20%,0%,3%,20%,-4%,2%,20%,12%,5%,4%,16%,-10%,20%
07/10/2022,-10%,14%,-6%,-2%,-10%,-10%,-10%,20%,-10%,-10%,20%,20%,-3%,20%,20%,20%,7%,20%,-10%,20%
10/10/2022,20%,-10%,-10%,9%,-9%,-10%,-10%,20%,0%,-10%,-10%,20%,-10%,20%,20%,20%,20%,20%,-10%,20%
11/10/2022,11%,-10%,-10%,14%,20%,-10%,-10%,20%,-5%,-10%,-10%,20%,-10%,20%,-10%,20%,20%,20%,0%,20%
12/10/2022,-10%,-10%,-10%,20%,-10%,-10%,-10%,8%,17%,7%,-10%,20%,-10%,20%,-10%,20%,20%,20%,19%,20%
13/10/2022,20%,-10%,-10%,18%,20%,-2%,-10%,-10%,9%,20%,-10%,-4%,-5%,-10%,-10%,20%,20%,14%,20%,20%
14/10/2022,2%,7%,-10%,-10%,20%,-3%,-9%,-10%,20%,20%,-10%,20%,20%,-10%,-10%,20%,18%,20%,15%,-10%
17/10/2022,-2%,20%,-10%,-10%,13%,-8%,-7%,13%,20%,20%,-3%,20%,20%,-10%,-4%,20%,-3%,4%,16%,-10%
18/10/2022,1%,20%,-10%,0%,20%,-2%,-5%,-10%,12%,20%,-8%,8%,20%,-10%,17%,20%,-3%,8%,12%,-10%
19/10/2022,-3%,-10%,20%,2%,18%,-2%,-8%,-10%,20%,20%,-8%,8%,20%,-10%,20%,20%,-3%,-5%,20%,-10%
20/10/2022,16%,7%,20%,20%,-10%,11%,15%,-8%,19%,20%,-10%,17%,20%,-10%,-10%,20%,-10%,-8%,-10%,-10%
21/10/2022,18%,-10%,20%,-10%,-10%,-10%,2%,-10%,17%,20%,9%,20%,20%,-10%,-4%,20%,2%,7%,-10%,20%
24/10/2022,19%,20%,1%,-10%,-10%,-10%,2%,-10%,20%,20%,19%,3%,-10%,-10%,-10%,20%,15%,20%,-10%,20%
25/10/2022,12%,20%,-4%,10%,4%,-10%,5%,-10%,9%,20%,8%,-1%,-8%,20%,-10%,20%,2%,20%,-10%,2%
26/10/2022,-4%,-10%,-10%,-10%,3%,4%,-6%,-10%,4%,20%,11%,20%,-9%,20%,19%,20%,3%,20%,-1%,15%
27/10/2022,-10%,-10%,-10%,-10%,14%,4%,0%,-10%,8%,3%,3%,20%,-1%,20%,20%,20%,7%,20%,-7%,20%
28/10/2022,-10%,-10%,-10%,-10%,20%,5%,3%,-10%,10%,17%,5%,20%,-10%,20%,20%,20%,-10%,20%,-10%,20%
31/10/2022,-2%,-10%,-10%,-10%,5%,2%,-6%,-10%,18%,20%,7%,20%,-10%,20%,20%,20%,-10%,20%,-4%,20%
01/11/2022,2%,-10%,-10%,-10%,20%,1%,2%,-10%,16%,20%,4%,18%,-10%,20%,20%,20%,-10%,8%,-10%,20%
02/11/2022,20%,-10%,-10%,-10%,7%,1%,-4%,-10%,20%,20%,9%,-10%,0%,20%,20%,20%,-10%,19%,-7%,14%
03/11/2022,-10%,-10%,-10%,-10%,-10%,-2%,7%,-10%,20%,20%,-4%,-10%,20%,-4%,12%,20%,20%,20%,20%,20%
04/11/2022,-10%,-10%,-10%,-10%,-6%,-10%,20%,-10%,17%,20%,13%,-10%,20%,-10%,-4%,20%,20%,20%,20%,20%
07/11/2022,-10%,12%,-10%,-10%,-10%,-10%,20%,-10%,15%,20%,13%,-10%,20%,-10%,-10%,20%,10%,20%,20%,20%
08/11/2022,-10%,20%,-10%,9%,-10%,-10%,17%,-10%,10%,20%,19%,-10%,-4%,0%,-7%,20%,4%,20%,12%,20%
09/11/2022,-10%,20%,-10%,20%,16%,-10%,-6%,20%,-10%,20%,20%,-10%,-10%,20%,12%,20%,3%,2%,-10%,3%
10/11/2022,-10%,8%,9%,20%,20%,-10%,-10%,20%,-8%,4%,20%,-5%,-2%,20%,-10%,20%,-1%,16%,9%,-10%
11/11/2022,10%,20%,20%,20%,20%,-10%,4%,20%,-10%,9%,17%,-10%,-10%,20%,-10%,-2%,-7%,-10%,20%,-10%
14/11/2022,14%,19%,20%,20%,20%,-8%,3%,20%,-10%,4%,13%,-10%,-10%,20%,-10%,-5%,0%,-10%,20%,-10%
15/11/2022,16%,-10%,20%,20%,20%,-1%,8%,20%,-10%,-10%,13%,20%,-10%,20%,-10%,-5%,0%,-10%,20%,-10%
16/11/2022,11%,-10%,-10%,20%,20%,-1%,-9%,20%,-10%,-10%,12%,20%,-10%,20%,19%,-2%,18%,-10%,20%,-9%
17/11/2022,17%,-10%,-10%,20%,20%,-10%,-10%,20%,-10%,-10%,0%,20%,-10%,14%,13%,20%,15%,20%,2%,-10%
18/11/2022,20%,-10%,-10%,20%,4%,-10%,-10%,4%,20%,4%,3%,20%,-10%,20%,-4%,20%,4%,17%,7%,-10%
21/11/2022,13%,20%,-10%,-10%,20%,-10%,-10%,-10%,20%,20%,3%,-10%,-10%,20%,0%,20%,17%,20%,5%,-8%
22/11/2022,2%,20%,-10%,-10%,20%,-10%,-6%,-10%,14%,10%,18%,-10%,-10%,20%,-7%,20%,20%,13%,20%,-3%
23/11/2022,-10%,18%,-10%,-10%,20%,-10%,5%,-10%,18%,20%,18%,-10%,-10%,20%,7%,20%,20%,-10%,20%,-6%
25/11/2022,-10%,20%,-10%,-10%,20%,-1%,11%,-10%,5%,20%,12%,-10%,-10%,20%,13%,20%,14%,4%,10%,-9%
28/11/2022,-10%,-10%,2%,-10%,7%,20%,5%,-10%,20%,20%,2%,20%,-10%,20%,20%,20%,-5%,20%,-10%,-10%
29/11/2022,-10%,-10%,14%,-10%,20%,20%,-10%,-10%,20%,20%,-4%,20%,-10%,-10%,11%,20%,-4%,20%,20%,-7%
30/11/2022,-10%,-10%,17%,-10%,-1%,0%,-10%,15%,20%,20%,16%,20%,-10%,7%,-10%,20%,-4%,20%,20%,-10%
01/12/2022,-10%,20%,-10%,20%,-10%,14%,4%,20%,-6%,-7%,20%,-10%,-10%,-5%,20%,20%,-1%,20%,20%,-10%
02/12/2022,-10%,20%,-10%,13%,-10%,7%,3%,20%,-9%,-4%,11%,-10%,-10%,20%,20%,16%,3%,20%,20%,-10%
05/12/2022,19%,20%,-10%,12%,-10%,8%,3%,20%,4%,-10%,-3%,-10%,-10%,20%,20%,16%,14%,17%,-10%,-10%
06/12/2022,20%,-9%,-10%,4%,20%,-10%,-10%,-10%,20%,-10%,-8%,5%,-10%,20%,20%,20%,20%,20%,-10%,17%
07/12/2022,-1%,8%,-10%,-10%,20%,-10%,-10%,-10%,20%,20%,-10%,-7%,-10%,20%,20%,20%,20%,20%,-10%,20%
08/12/2022,-10%,0%,-10%,-10%,4%,-10%,12%,-10%,20%,20%,16%,-10%,-10%,20%,20%,20%,20%,20%,-10%,8%
09/12/2022,-10%,-10%,1%,-10%,20%,-6%,20%,-10%,20%,20%,20%,-10%,-10%,20%,0%,20%,15%,20%,0%,-10%
12/12/2022,-10%,14%,4%,-10%,2%,-10%,20%,-10%,14%,20%,20%,20%,-10%,20%,-7%,20%,-1%,-7%,20%,-10%
13/12/2022,-2%,20%,13%,-10%,20%,-10%,20%,-10%,-10%,20%,20%,19%,-10%,20%,-10%,20%,-9%,-10%,20%,-10%
14/12/2022,-10%,20%,-3%,20%,20%,-10%,-4%,-8%,-10%,11%,20%,20%,-10%,20%,3%,20%,-7%,-10%,20%,-2%
15/12/2022,-10%,20%,1%,-3%,-10%,-10%,-6%,-10%,-10%,0%,20%,15%,-10%,20%,9%,20%,4%,20%,20%,20%
16/12/2022,-10%,20%,16%,-10%,-10%,-10%,-10%,20%,-10%,-10%,20%,-10%,4%,20%,-10%,20%,10%,20%,20%,20%
19/12/2022,-10%,-10%,-10%,-10%,-10%,-10%,-10%,-10%,20%,20%,20%,20%,20%,-10%,-10%,20%,20%,20%,20%,20%
20/12/2022,-10%,-10%,-10%,-10%,20%,-10%,-10%,-10%,20%,20%,-10%,20%,20%,-10%,20%,20%,20%,20%,-10%,20%
21/12/2022,-10%,-10%,-10%,-10%,20%,-10%,-10%,7%,13%,20%,15%,8%,20%,-10%,20%,20%,-3%,20%,-10%,20%
22/12/2022,-3%,-10%,-10%,-10%,20%,-10%,-10%,-10%,20%,20%,12%,20%,20%,-10%,-9%,20%,19%,20%,-10%,20%
23/12/2022,-10%,-10%,1%,19%,20%,-10%,-10%,-10%,17%,4%,9%,14%,4%,12%,0%,20%,-1%,20%,-10%,20%
27/12/2022,-10%,-10%,-10%,-10%,10%,-10%,-10%,-10%,20%,-5%,18%,11%,3%,20%,16%,20%,2%,20%,14%,20%
28/12/2022,-10%,-10%,-10%,-10%,-10%,-10%,-10%,-10%,20%,20%,5%,20%,20%,20%,20%,20%,10%,19%,0%,7%
29/12/2022,-10%,-7%,-10%,-10%,20%,-10%,-10%,20%,11%,20%,9%,20%,20%,20%,20%,-3%,-10%,20%,-9%,-1%
